Length;L;M;S;SD3neg;SD2neg;SD1neg;SD0;SD1;SD2;SD3;Gender;;;;;;;;;;;;;;
45;-0,3833;2,4607;0,09029;1,9;2,1;2,3;2,5;2,7;3;3,3;Female;;;;;;;;;;;;;;
45;-0,3521;2,441;0,09182;1,9;2;2,2;2,4;2,7;3;3,3;Male;;;;;;;;;;;;;;
45,5;-0,3833;2,5457;0,09033;2;2,1;2,3;2,5;2,8;3,1;3,4;Female;;;;;;;;;;;;;;
45,5;-0,3521;2,5244;0,09153;1,9;2,1;2,3;2,5;2,8;3,1;3,4;Male;;;;;;;;;;;;;;
46;-0,3833;2,6306;0,09037;2;2,2;2,4;2,6;2,9;3,2;3,5;Female;;;;;;;;;;;;;;
46;-0,3521;2,6077;0,09124;2;2,2;2,4;2,6;2,9;3,1;3,5;Male;;;;;;;;;;;;;;
46,5;-0,3833;2,7155;0,0904;2,1;2,3;2,5;2,7;3;3,3;3,6;Female;;;;;;;;;;;;;;
46,5;-0,3521;2,6913;0,09094;2,1;2,3;2,5;2,7;3;3,2;3,6;Male;;;;;;;;;;;;;;
47;-0,3833;2,8007;0,09044;2,2;2,4;2,6;2,8;3,1;3,4;3,7;Female;;;;;;;;;;;;;;
47;-0,3521;2,7755;0,09065;2,1;2,3;2,5;2,8;3;3,3;3,7;Male;;;;;;;;;;;;;;
47,5;-0,3833;2,8867;0,09048;2,2;2,4;2,6;2,9;3,2;3,5;3,8;Female;;;;;;;;;;;;;;
47,5;-0,3521;2,8609;0,09036;2,2;2,4;2,6;2,9;3,1;3,4;3,8;Male;;;;;;;;;;;;;;
48;-0,3833;2,9741;0,09052;2,3;2,5;2,7;3;3,3;3,6;4;Female;;;;;;;;;;;;;;
48;-0,3521;2,948;0,09007;2,3;2,5;2,7;2,9;3,2;3,6;3,9;Male;;;;;;;;;;;;;;
48,5;-0,3833;3,0636;0,09056;2,4;2,6;2,8;3,1;3,4;3,7;4,1;Female;;;;;;;;;;;;;;
48,5;-0,3521;3,0377;0,08977;2,3;2,6;2,8;3;3,3;3,7;4;Male;;;;;;;;;;;;;;
49;-0,3833;3,156;0,0906;2,4;2,6;2,9;3,2;3,5;3,8;4,2;Female;;;;;;;;;;;;;;
49;-0,3521;3,1308;0,08948;2,4;2,6;2,9;3,1;3,4;3,8;4,2;Male;;;;;;;;;;;;;;
49,5;-0,3833;3,252;0,09064;2,5;2,7;3;3,3;3,6;3,9;4,3;Female;;;;;;;;;;;;;;
49,5;-0,3521;3,2276;0,08919;2,5;2,7;3;3,2;3,5;3,9;4,3;Male;;;;;;;;;;;;;;
50;-0,3833;3,3518;0,09068;2,6;2,8;3,1;3,4;3,7;4;4,5;Female;;;;;;;;;;;;;;
