jenisKelamin,umur,beratBadan,tinggiBadan
L,59,12.5,98.0
L,57,10.4,88.5
P,13,6.5,68.0
L,53,11.0,93.0
P,15,8.0,72.0
L,14,7.6,70.0
P,43,8.7,85.0
P,48,13.2,89.0
L,37,10.2,84.0
L,37,9.4,84.0
P,31,12.0,85.0
P,24,9.6,93.0
P,15,6.5,69.0
P,45,11.0,89.0
P,23,9.2,85.0
P,36,8.0,81.0
P,17,6.6,70.0
L,40,10.5,88.5
P,47,12.5,95.0
P,22,7.3,74.0
P,23,7.7,81.0
L,48,12.3,82.0
L,54,13.7,93.0
P,24,7.3,75.0
L,44,11.0,88.0
L,35,12.5,85.0
L,45,11.5,92.5
P,49,10.2,85.0
L,40,10.0,82.0
L,54,13.6,93.0
P,48,11.35,89.0
L,19,7.8,74.0
P,31,8.7,74.5
P,25,8.0,78.0
P,50,10.0,86.0
P,58,14.0,92.7
L,47,11.0,90.0
L,26,8.8,80.0
P,13,6.3,68.0
L,45,13.0,90.0
L,30,10.3,83.0
P,19,8.0,76.0
P,58,12.0,98.0
L,28,7.9,75.0
L,46,11.2,87.0
L,50,11.0,93.0
L,43,11.5,90.0
L,29,11.0,81.5
P,46,13.0,88.0
P,44,10.2,90.0
P,46,11.7,93.0
L,23,6.9,70.0
P,44,11.0,90.5
L,37,11.5,88.0
L,50,11.4,93.0
P,26,8.5,70.0
P,26,10.0,78.0
P,56,11.0,93.0
P,58,11.5,91.0
L,16,8.0,75.0
L,37,11.2,87.0
L,15,5.6,68.0
L,35,12.0,86.0
L,17,8.0,74.5
L,31,10.5,78.0
P,14,5.7,64.0
P,57,13.0,95.0
P,47,11.0,88.0
L,27,9.0,83.0
L,7,5.0,57.0
P,50,12.0,99.0
L,19,7.3,74.0
L,33,12.5,84.0
P,40,10.8,92.0
P,21,10.3,73.0
P,22,8.0,75.0
L,26,9.0,82.0
L,56,13.2,86.5
P,39,10.0,83.5
P,45,13.0,87.0
P,29,9.0,81.0
L,35,10.2,84.5
P,16,7.0,71.0
P,23,7.2,76.5
P,53,11.5,96.0
L,19,7.2,73.0
L,51,10.7,89.0
L,49,13.0,93.0
L,17,7.7,70.0
P,35,10.0,82.0
P,47,10.6,89.0
L,43,13.0,88.0
L,26,10.1,86.5
P,36,9.5,86.0
L,20,9.2,76.0
L,21,8.6,74.0
P,31,9.0,77.0
P,44,11.8,84.0
L,40,12.3,92.0
L,46,13.0,88.0
L,19,8.0,79.0
L,48,12.2,91.2
P,16,7.0,74.0
P,20,8.7,80.5
L,36,12.1,86.5
P,42,12.2,94.0
L,13,7.2,72.0
L,37,10.2,89.2
P,32,8.5,83.0
L,52,11.7,88.0
P,24,8.9,88.0
L,33,11.0,99.0
P,46,10.8,84.1
P,49,14.8,96.5
